제목,작가,링크,줄거리,썸네일,연령등급
괴력 난신,매드버드 / 김태형 / 한중월야,https://comic.naver.com/webtoon/list?titleId=821597&tab=tue,"살인에서 삶의 즐거움을 느끼는 '겸살귀', 정(正).
대 연목검장의 셋째공자 목경운과 똑같이 생긴 얼굴을 가졌는데...
""나의 대역이 되어라. 그러면 옥에서 나갈 수 있게 해 주마.""
""그 기회. 제게 주시겠습니까?""

'촤악-!!!'

셋째공자를 죽여버린다. 그리고 본인이 '진짜'가 되어 살아가고자 한다.
가짜 목경운은 진짜 목경운으로서 살아남을 수 있을까?
연쇄살인마, 대 연목검장의 셋째공자로서 새로운 삶을 시작한다.",https://image-comic.pstatic.net/webtoon/821597/thumbnail/thumbnail_IMAG21_07118c59-2490-4cc9-b144-11c10f138b30.jpg,15세 이용가
김부장,"박만사, 남자의 이야기 / 정종택",https://comic.naver.com/webtoon/list?titleId=783053&tab=tue,"“제발 안경 쓴 아저씨는 건들지 말자…”
오직 자신의 딸 '민지'를 위해 특수요원직을 관두고 평범함을 선택한 가장 김부장.
그러던 어느 날 민지가 소리소문 없이 사라지고, 김부장은 자신을 감시하는 국가를 적으로 돌리면서까지 딸을 찾아나서기 시작하는데...
[외모지상주의], [싸움독학] 그리고 [인생존망]의 세계관을 잇는 공식 스핀오프 작품!",https://image-comic.pstatic.net/webtoon/783053/thumbnail/thumbnail_IMAG21_d7732f14-26da-4e35-8762-660cc87b53f1.jpg,15세 이용가
우렉 마지노,SIU,https://comic.naver.com/webtoon/list?titleId=838432&tab=tue,"<신의 탑> 최초의 외전. 펜타미넘을 쫓아 탑에 들어온 '우렉 마지노' 
그의 선별인원 시절 이야기.",https://image-comic.pstatic.net/webtoon/838432/thumbnail/thumbnail_IMAG21_eac3a41f-1bd2-420e-be3f-a4926e69dde9.jpg,12세 이용가
절대회귀,JP / 박진환 / 장영훈,https://comic.naver.com/webtoon/list?titleId=828715&tab=tue,"""나를 과거로 보내주시오.""
이 시대에서 그를 죽일 수 없다면, 과거로 돌아가면 되리라. 시간을 거스를 수 있는 '회귀대법(回歸大法)'으로 그토록 원하던 과거로 회귀한 한 남자. 가족도, 친구도, 삶도, 모두 잃었던 '검무극(劍無極)'의 복수를 위한 첫걸음이 시작된다.",https://image-comic.pstatic.net/webtoon/828715/thumbnail/thumbnail_IMAG21_8957548a-2eb2-4ddf-a50e-dbc7fddc16a7.jpg,15세 이용가
서울 자가에 대기업 다니는 김 부장 이야기,명랑 / 김병관 / 송희구,https://comic.naver.com/webtoon/list?titleId=819929&tab=tue,"집에서는 과묵하지만 누구보다 아내와 자식을 생각하고, 
회사에서는 책임감 있는 팀의 리더로 인정받으며 살아가지만 
세상은 그를 꼰대라고 부른다.
스스로의 행복보다는 남의 시선이 더 중요한 사람. 
그래서 나의 이야기보단 남의 자식, 남이 타는 차, 남이 살고 있는 
집의 이야기에 민감하고 집착하는 김 부장. 
서울 자가에 대기업을 다니는 김 부장은 행복해 질 수 있을까?",https://image-comic.pstatic.net/webtoon/819929/thumbnail/thumbnail_IMAG21_f1ca00e5-9b30-44d3-a1ee-7a04d539002a.jpg,15세 이용가
신입사원 김철수,스튜디오MW / 오정,https://comic.naver.com/webtoon/list?titleId=812594&tab=tue,"평생을 바친 회사로부터 버림받은 그날,
입사 첫 날의 그 순간으로 돌아와 버렸다?
국내 굴지의 대기업 한영통산에 입사한 무스펙 신입사원 김철수.
과연 이번 생에는 그토록 염원하던 '사장'의 자리에 오를 수 있을까?
현대판 입지전적 자수성가 스토리!",https://image-comic.pstatic.net/webtoon/812594/thumbnail/thumbnail_IMAG21_d524ca40-2d86-4946-b13f-53d42cbd1cba.jpg,15세 이용가
이섭의 연애,248 / 김언희,https://comic.naver.com/webtoon/list?titleId=813454&tab=tue,"10년 연속 업무달성률 1위! 최단기 최연소 승진 코스를 밟고 있는 최우수 사원!
1등만 해 온 나에게 첫 2등의 경험을 안겨준 입사동기, 강민경.
내 자존심을 짓밟은 그녀가 나, 태이섭 전무의 비서가 됐다.
그 뛰어난 업무처리 능력으로 나까지 처리해 버리려고?
업무 그만 하시고 여기 좀 봐주시죠, 강민경씨!
아무것도 하기 싫은 태이섭과 어떻게든 해내야 하는 강민경의 대환장 오피스 로맨스!",https://image-comic.pstatic.net/webtoon/813454/thumbnail/thumbnail_IMAG21_b65fca82-52ce-4c07-8499-6163d24c5721.jpg,15세 이용가
마음의소리(였던 것),조석,https://comic.naver.com/webtoon/list?titleId=821793&tab=tue,"""그리다 만화가 남아서 조금 더 넣었습니다""
마음의소리가 될 뻔한(?) 더 짧고, 더 날것의 에피소드들 대방출 (어?  이게 되네..?)",https://image-comic.pstatic.net/webtoon/821793/thumbnail/thumbnail_IMAG21_c5c798a7-dadf-487b-9bea-485928755332.jpg,전체연령가
중증외상센터 : 외과의사 백강혁,홍비치라 / 한산이가,https://comic.naver.com/webtoon/list?titleId=835736&tab=tue,"초감각을 지닌 남자, 백강혁.
아버지를 잃은 후로 사상 최고의 외상 외과 의사를 목표로 사정 없이 달리기 시작한다.
그런데 이제 광기를 곁들인……
187cm의 모델 같은 외모로 병원을 휩쓸고 다니는 그는 외상 외과 의사가 되기 위해 온 몸으로 환자들을 마주하기 시작한다.",https://image-comic.pstatic.net/webtoon/835736/thumbnail/thumbnail_IMAG21_91f8c0be-dcab-47f2-a198-afeb0746e06e.jpg,전체연령가
레벨999 고블린,다피 / 곰곰,https://comic.naver.com/webtoon/list?titleId=838991&tab=tue,현실에서도 노가다! 게임에서도 노가다로 생계를 유지하는 주인공 김철수. 드디어 히든 클래스에 전직할 기회를 얻으면서 인생 한방!을 노리는데…! 히든 클래스는 고작 고블린 소환사…?,https://image-comic.pstatic.net/webtoon/838991/thumbnail/thumbnail_IMAG21_3e120b7a-ee69-4dbb-9c4d-a6ef4f151524.jpg,15세 이용가
마음의소리2,조석,https://comic.naver.com/webtoon/list?titleId=814543&tab=tue,"'마음의소리' 완결 후 3년, 조석 작가의 결코 소소하지 않은 일상(?) 대공개! 
제목은... '너는 그냥 개그만화나 그려라'
(였는데 다들 '마음의소리2'라 불러서 제목 바꿈)",https://image-comic.pstatic.net/webtoon/814543/thumbnail/thumbnail_IMAG21_df84a681-b7ef-4dda-8cef-25b219d35e3e.jpg,전체연령가
축살,장성준,https://comic.naver.com/webtoon/list?titleId=840184&tab=tue,성인,성인,성인
사신소년,류,https://comic.naver.com/webtoon/list?titleId=730656&tab=tue,"수명을 대가로 죽은 자의 능력을 빌리는 소년! 
화려한 액션에서 부터 스포츠, 두뇌 플레이까지 한계는 없다!",https://image-comic.pstatic.net/webtoon/730656/thumbnail/thumbnail_IMAG21_fc6d8dbf-eed2-43d0-af45-2edb3cc4244e.jpg,15세 이용가
44교시 생존수업,상C,https://comic.naver.com/webtoon/list?titleId=836848&tab=tue,"갑자기 세상에 ‘검은 원’이라 불리는 구멍들이 생겨나기 시작했다.
검은 원은 미스테리 그 자체. 생긴 원인도, 내부에 뭐가 있는 지도 밝힐 수 없었다. 그저 지금까지 검은 원에 빠진 후 돌아온 사람이 단 한 명도 없다는 걸 빼고. 
어느 날 주인공 도윤의 학교에도 검은 원이 생겨났다. 검은 원은 점점 커져 학교를 집어삼켰고 도윤을 포함한 대부분의 학생들이 검은 원 속에 빠지고 만다.
과연 아이들은 출구를 찾아 검은 원에서 탈출할 수 있을까?",https://image-comic.pstatic.net/webtoon/836848/thumbnail/thumbnail_IMAG21_91382c72-745a-4df6-9a76-97fecf014390.jpg,15세 이용가
멸망 이후의 세계,언데드딸기 / 언데드감자 / 싱숑,https://comic.naver.com/webtoon/list?titleId=789979&tab=tue,"<전지적 독자 시점> 싱숑 작가 원작.

이것은 모두가 과거로 돌아갈 때 마지막까지 회귀하지 않았던 한 사나이의 이야기다.",https://image-comic.pstatic.net/webtoon/789979/thumbnail/thumbnail_IMAG21_07d44ecc-faf1-4b21-bbaa-63ff65bd4d67.jpg,15세 이용가
회귀한 용병은 다 계획이 있다,골드행 / 박진석,https://comic.naver.com/webtoon/list?titleId=832557&tab=tue,"몰락한 페르디움 가문의 복수를 위해 대전쟁을 일으킨

대륙 7강 용병왕 지셀 페르디움.


 

모든 복수가 순조롭게 마무리되던 와중,

예상치 못한 인물 아이던이 등장해 지셀의 계획을 무마시키고

그의 목을 벤다.


 

그렇게 지셀은 죽을 줄 알았지만,

눈을 떠보니 가문이 몰락하기 전의 어린 지셀로 회귀해 있었다.


 

다시는 뼈아픈 과오를 반복하지 않기 위해

전생에 가지고 있던 지식과 힘으로 잘못 어긋난

조각들을 하나씩 다시 맞추기 시작한다.",https://image-comic.pstatic.net/webtoon/832557/thumbnail/thumbnail_IMAG21_9f170e53-708c-41cb-a011-9f37e994deb5.jpg,15세 이용가
시한부인 줄 알았어요!,혜용 / 에시 / 최아리,https://comic.naver.com/webtoon/list?titleId=801711&tab=tue,"3개월 시한부 진단을 받은 블랑셰 공작가의 공녀, 라리에트.
어차피 죽을 몸, 버킷리스트(라 쓰고 미친 짓이라 읽는) 달성을 해보기로 했다.
첫째. 사랑하지도 않는 나이 많은 약혼자 엿 먹이기.
둘째. 괴물 공작 아스라한과 3개월 간 연애하기! 
그러나 그에게서 도망치고 나서야 깨닫고 말았다. 시한부 진단이 완벽한 오진이라는 사실을!",https://image-comic.pstatic.net/webtoon/801711/thumbnail/thumbnail_IMAG21_2a097d0a-8844-4fb6-93d9-fc04fb3197db.jpg,15세 이용가
천마는 평범하게 살 수 없다,철범 / 모구 / 산천,https://comic.naver.com/webtoon/list?titleId=774358&tab=tue,"천마 백중혁, 드미트리 가문의 장남으로 눈을 뜨다. 
드미트리의 얼간이, 차남에게 밀린 장남. 
세간의 평판은 중요하지 않다. 
천마, 아니, 로만 드미트리는 앞으로 평범하게 살 수 없다. 
압도하는 천마 판타지!",https://image-comic.pstatic.net/webtoon/774358/thumbnail/thumbnail_IMAG21_ddaf1152-d535-4d0d-b7b5-b46c0d3cd01c.jpg,15세 이용가
못 잡아먹어서 안달,팀 보도뵈 / 퀀퀀 / 플아다,https://comic.naver.com/webtoon/list?titleId=817247&tab=tue,"출중한 능력. 어딜 내놓아도 꿀리지 않을 외모. 번듯한 집안.
잘 닦인 길만을 걸으며 살았다. 지루할 정도로 모든 게 완벽했다. 
그랬던 서른 살 어느 날… 김태준은 충동적으로 길을 벗어난다. 
부모님의 목숨을 앗아간 운전 기사의 딸, '한소은'을 만나기 위해서.
'대체 무슨 낯짝으로 이 회사에 기어들어 온 거지?'
뻔뻔한 낯짝이 가증스러웠다. 그래서 곁에 두고 괴롭히기로 했다. 
마치 못 잡아먹어서 안달이 난 사람처럼….
""저 이사님 좋아하는 것 같아요.""
어, 이게 아닌데?",https://image-comic.pstatic.net/webtoon/817247/thumbnail/thumbnail_IMAG21_61bd3fbe-b16f-494a-b374-e7a68e5ca607.jpg,15세 이용가
한림체육관,혜성 / 이석재,https://comic.naver.com/webtoon/list?titleId=743139&tab=tue,"'세상에서 가장 강한 남자가 되고 싶다.'
그릇된 강함을 실천하던 전영하가 한림체육관에 들어와 진정한 강함을 깨닫고 무도인으로 거듭나는 학원 액션물",https://image-comic.pstatic.net/webtoon/743139/thumbnail/thumbnail_IMAG21_0a0e585b-979a-4f1d-9cec-97d0abf5ef3d.jpg,15세 이용가
아카데미 플레이어를 죽였다,기린그린 / 사람살려.,https://comic.naver.com/webtoon/list?titleId=818434&tab=tue,"플레이어를 죽였다.
죽일 만한 놈이었다. 아주 X새끼였거든.",https://image-comic.pstatic.net/webtoon/818434/thumbnail/thumbnail_IMAG21_2ff1f20b-78a0-426a-9b27-277e55e00cc2.jpg,15세 이용가
성검전설,최다킬,https://comic.naver.com/webtoon/list?titleId=814356&tab=tue,"마왕을 쓰러뜨릴 단 하나의 무구.
성검.
을 잃어버린 용사...
성검을 되찾을 때까지 용사는 찾고 또 찾는다.
10년, 20년, 30년... 용의 둥지부터 정령왕의 은신처까지
용사는 오늘도 성검을 찾는다.
성검을 잃어버린 용사는
쥰내 쪽팔리니까.",https://image-comic.pstatic.net/webtoon/814356/thumbnail/thumbnail_IMAG21_6dbfab75-a168-40d6-8347-93e752c3b2ed.jpg,15세 이용가
